Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2e-06,TraderFour,Tick,0,0,0,0,,,0,0,0,OK
2e-06,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
2e-06,TraderThree,Tick,0,0,0,0,,,0,0,0,OK
2e-06,LiquidBears,Tick,0,0,0,0,,,0,0,0,OK
0.289375,TraderFour,Tick,0,0,0,0,,,0,0,0,OK
0.289375,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.289375,TraderThree,Tick,0,0,0,0,,,0,0,0,OK
0.289375,LiquidBears,Tick,0,0,0,0,,,0,0,0,OK
0.492451,TraderFour,Tick,0,0,0,0,,,0,0,0,OK
0.492451,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.492451,TraderThree,Tick,0,0,0,0,,,0,0,0,OK
0.492451,LiquidBears,Tick,0,0,0,0,,,0,0,0,OK
0.771375,TraderFour,Tick,0,0,0,0,,,0,0,0,OK
0.771375,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.771375,TraderThree,Tick,0,0,0,0,,,0,0,0,OK
0.771375,LiquidBears,Tick,0,0,0,0,,,0,0,0,OK
0.957354,TraderFour,Tick,0,10,-10,10,147600,,-147,147,147,OK
0.957354,TraderTwo,Tick,0,10,-10,10,147600,,-147,147,147,OK
0.957354,TraderThree,Tick,0,10,-10,10,147600,,-147,147,147,OK
0.957354,LiquidBears,Tick,0,10,-10,10,147600,,-147,147,147,OK
1.217332,TraderFour,Tick,0,10,-10,10,147100,147100,-147,147,147,OK
1.217332,TraderTwo,Tick,0,10,-10,10,147100,147100,-147,147,147,OK
1.217332,TraderThree,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
1.217332,LiquidBears,Tick,0,10,-10,10,147100,147100,-147,147,147,OK
1.537889,TraderFour,Tick,10,10,0,0,147100,147100,147,-2147,-2147,OK
1.537889,TraderTwo,Tick,1,10,-9,9,147100,147100,-162,62,62,OK
1.537889,TraderThree,Tick,10,20,-10,10,147100,147100,-441,-459,-459,OK
1.537889,LiquidBears,Tick,0,20,-20,20,147100,147100,147,-1147,-1147,OK
1.743055,TraderFour,Tick,10,20,-10,10,147100,147100,0,-2000,-2000,OK
1.743055,TraderTwo,Tick,11,20,-9,9,147100,147100,-15,-2085,-2085,OK
1.743055,TraderThree,Tick,20,30,-10,10,147100,147100,-294,-606,-606,OK
1.743055,LiquidBears,Tick,10,20,-10,10,147100,147100,441,-2441,-2441,OK
2.00974,TraderFour,Tick,20,20,0,0,147100,147000,-147,-2853,-2853,OK
2.00974,TraderTwo,Tick,11,30,-19,19,147100,147000,279,-2379,-4279,OK
2.00974,TraderThree,Tick,20,30,-10,10,147100,147000,-294,-606,-1606,OK
2.00974,LiquidBears,Tick,10,20,-10,10,147100,147000,441,-2441,-3441,OK
2.214614,TraderFour,Tick,20,30,-10,10,147000,146900,147,-3147,-4147,OK
2.214614,TraderTwo,Tick,11,30,-19,19,147000,146900,279,-2379,-4279,OK
2.214614,TraderThree,Tick,20,30,-10,10,147000,146900,-294,-606,-1606,OK
2.214614,LiquidBears,Tick,20,20,0,0,147000,146900,294,-4294,-4294,OK
2.520142,TraderFour,Tick,30,30,0,0,146400,146900,0,-5000,-5000,OK
2.520142,TraderTwo,Tick,21,30,-9,9,146400,146900,132,-4232,-2432,OK
2.520142,TraderThree,Tick,30,30,0,0,146400,146900,-441,-2459,-2459,OK
2.520142,LiquidBears,Tick,30,20,10,-10,146400,146900,147,-6147,-8147,OK
2.753953,TraderFour,Tick,30,30,0,0,146400,146900,0,-5000,-5000,OK
2.753953,TraderTwo,Tick,21,30,-9,9,146400,146900,132,-4232,-2432,OK
2.753953,TraderThree,Tick,30,30,0,0,146400,146900,-441,-2459,-2459,OK
2.753953,LiquidBears,Tick,30,20,10,-10,146400,146900,147,-6147,-8147,OK
2.97276,TraderFour,Tick,30,30,0,0,146400,146900,0,-5000,-5000,OK
2.97276,TraderTwo,Tick,21,30,-9,9,146400,146900,132,-4232,-2432,OK
2.97276,TraderThree,Tick,30,30,0,0,146400,146900,-441,-2459,-2459,OK
2.97276,LiquidBears,Tick,30,20,10,-10,146400,146900,147,-6147,-8147,OK
3.220715,TraderFour,Tick,30,30,0,0,146400,146900,0,-5000,-5000,OK
3.220715,TraderTwo,Tick,21,30,-9,9,146400,146900,132,-4232,-2432,OK
3.220715,TraderThree,Tick,30,30,0,0,146400,146900,-441,-2459,-2459,OK
3.220715,LiquidBears,Tick,30,20,10,-10,146400,146900,147,-6147,-8147,OK
3.524022,TraderFour,Tick,30,40,-10,10,147500,146900,-147,-4853,-6853,OK
3.524022,TraderTwo,Tick,21,40,-19,19,147500,146900,-15,-4085,-7885,OK
3.524022,TraderThree,Tick,30,40,-10,10,147500,146900,-588,-2312,-4312,OK
3.524022,LiquidBears,Tick,30,30,0,0,147500,146900,0,-7000,-7000,OK
3.742291,TraderFour,Tick,37,40,-3,3,146900,146900,-250,-5450,-5450,OK
3.742291,TraderTwo,Tick,21,40,-19,19,146900,146900,-15,-4085,-4085,OK
3.742291,TraderThree,Tick,40,40,0,0,146900,146900,-735,-3165,-3165,OK
3.742291,LiquidBears,Tick,30,30,0,0,146900,146900,0,-7000,-7000,OK
3.988593,TraderFour,Tick,37,40,-3,3,146900,146900,-250,-5450,-5450,OK
