Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,177349435,0,B,1000,146900,G,
0.0,,Insert,177349439,0,A,8000,147000,G,
0.0,,Insert,177349467,0,A,3000,147200,G,
0.0,,Insert,177349475,0,A,2000,147100,G,
0.0,,Insert,177349487,0,A,2000,181600,G,
0.0,,Cancel,177349435,,,-1000,,,
0.0,,Insert,177349499,0,B,1000,146900,G,
0.0,,Insert,177349503,0,A,1000,147000,G,
0.0,,Cancel,177349467,,,-3000,,,
0.0,,Cancel,177349499,,,-1000,,,
0.0,,Insert,177349687,0,A,2000,147300,G,
0.0,,Insert,177349767,0,A,1000,152000,G,
0.0,,Cancel,177349439,,,-8000,,,
0.0,,Insert,177349831,0,A,400,147000,G,
0.0,,Insert,177349855,0,B,1000,146600,G,
0.0,,Cancel,177349855,,,-1000,,,
0.0,,Insert,177350607,0,A,8000,147000,G,
0.0,,Insert,177350623,0,B,1000,145400,G,
0.0,,Cancel,177350607,,,-8000,,,
0.0,,Insert,177351455,0,B,1000,146900,G,
0.0,,Insert,177351459,0,B,1000,146900,G,
0.0,,Insert,177351463,0,B,1000,146600,G,
0.0,,Cancel,177349831,,,-400,,,
0.0,,Insert,177351471,0,A,400,147100,G,
0.0,,Cancel,177351455,,,-1000,,,
0.0,,Cancel,177349687,,,-2000,,,
0.0,,Insert,177351487,0,B,1000,146900,G,
0.0,,Insert,177351575,0,B,1000,146900,G,
0.0,,Cancel,177349503,,,-1000,,,
0.0,,Insert,177351587,0,B,1000,146900,G,
0.0,,Insert,177351591,0,A,1000,147100,G,
0.0,,Insert,177351611,0,A,1000,147400,G,
0.0,,Cancel,177349487,,,-2000,,,
0.0,,Insert,177351615,0,A,2000,181700,G,
0.0,,Insert,177351619,0,A,2000,148000,G,
0.0,,Insert,177351691,0,A,1000,147200,G,
0.0,,Cancel,177351575,,,-1000,,,
0.0,,Cancel,177351587,,,-1000,,,
0.0,,Cancel,177351487,,,-1000,,,
0.0,,Cancel,177351463,,,-1000,,,
0.0,,Insert,177351811,0,B,1000,146900,G,
0.0,,Insert,177351831,0,B,1000,146600,G,
0.0,,Insert,177351991,0,A,8000,147000,G,
0.0,,Cancel,177351811,,,-1000,,,
0.0,,Insert,177351999,0,A,3000,147300,G,
0.0,,Cancel,177351471,,,-400,,,
0.0,,Cancel,177351615,,,-2000,,,
0.0,,Insert,177352007,0,A,2000,181600,G,
0.0,,Cancel,177351611,,,-1000,,,
0.0,,Cancel,177351619,,,-2000,,,
0.0,,Insert,177352015,0,B,1000,146900,G,
0.0,,Cancel,177351991,,,-8000,,,
0.0,,Insert,177352047,0,A,2000,148000,G,
0.0,,Insert,177352055,0,A,1000,147400,G,
0.0,,Insert,177352123,0,A,1000,148500,G,
0.0,,Cancel,177352007,,,-2000,,,
0.0,,Insert,177352127,0,A,2000,181700,G,
0.0,,Cancel,177351691,,,-1000,,,
0.0,,Insert,177352303,0,B,8000,146900,G,
0.0,,Insert,177352347,0,A,1000,147200,G,
0.0,,Insert,177352391,0,A,400,147100,G,
0.0,,Cancel,177352123,,,-1000,,,
0.0,,Insert,177352479,0,B,1000,146900,G,
0.0,,Insert,177352535,0,B,1000,146900,G,
0.0,,Insert,177352539,0,B,1000,146900,G,
0.0,,Cancel,177349475,,,-2000,,,
0.0,,Cancel,177350623,,,-1000,,,
0.0,,Insert,177352591,0,A,1000,147200,G,
0.0,,Cancel,177352591,,,-1000,,,
0.0,,Insert,177352959,0,A,1000,147200,G,
0.0,,Cancel,177352959,,,-1000,,,
0.0,,Insert,177353207,0,A,2000,147200,G,
0.0,,Cancel,177352391,,,-400,,,
0.0,,Cancel,177351999,,,-3000,,,
0.0,,Insert,177353235,0,A,400,147200,G,
0.0,,Insert,177353271,0,B,2000,113000,G,
0.0,,Cancel,177353271,,,-2000,,,
0.0,,Insert,177353279,0,B,2000,112900,G,
0.0,,Cancel,177353279,,,-2000,,,
0.0,,Insert,177353287,0,B,2000,113000,G,
0.0,,Insert,177353291,0,B,1000,146300,G,
0.0,,Cancel,177353287,,,-2000,,,
0.0,,Insert,177353295,0,B,2000,112900,G,
0.0,,Cancel,177353291,,,-1000,,,
