Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.000005,Himalayas_748297,Tick,0,0,0,0,,,0,0,0,OK
0.000005,Lzxssx_522213,Tick,0,0,0,0,,,0,0,0,OK
0.000005,cunhal_42,Tick,0,0,0,0,,,0,0,0,OK
0.000005,Team666_666888,Tick,0,0,0,0,,,0,0,0,OK
0.000005,LiquidBears_2185,Tick,0,0,0,0,,,0,0,0,OK
0.000005,Gamma_1919,Tick,0,0,0,0,,,0,0,0,OK
0.233766,Himalayas_748297,Tick,0,0,0,0,,127900,0,0,0,OK
0.233766,Lzxssx_522213,Tick,0,0,0,0,,127900,0,0,0,OK
0.233766,cunhal_42,Tick,0,0,0,0,,127900,0,0,0,OK
0.233766,Team666_666888,Tick,0,0,0,0,,127900,0,0,0,OK
0.233766,LiquidBears_2185,Tick,0,0,0,0,,127900,0,0,0,OK
0.233766,Gamma_1919,Tick,0,0,0,0,,127900,0,0,0,OK
0.497321,Himalayas_748297,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.497321,Lzxssx_522213,Tick,10,0,10,-10,127800,128000,256,-256,-2256,OK
0.497321,cunhal_42,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.497321,Team666_666888,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.497321,LiquidBears_2185,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.497321,Gamma_1919,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.723162,Himalayas_748297,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.723162,Lzxssx_522213,Tick,15,0,15,-15,127800,128000,384,116,-2884,OK
0.723162,cunhal_42,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.723162,Team666_666888,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.723162,LiquidBears_2185,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.723162,Gamma_1919,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.993792,Himalayas_748297,Tick,0,0,0,0,127600,128000,0,0,0,OK
0.993792,Lzxssx_522213,Tick,20,0,20,-20,127600,128000,320,680,-3320,OK
0.993792,cunhal_42,Tick,0,0,0,0,127600,128000,0,0,0,OK
0.993792,Team666_666888,Tick,2,0,2,-2,127600,128000,-26,626,226,OK
0.993792,LiquidBears_2185,Tick,0,0,0,0,127600,128000,0,0,0,OK
0.993792,Gamma_1919,Tick,0,0,0,0,127600,128000,0,0,0,OK
1.227017,Himalayas_748297,Tick,0,0,0,0,127700,128100,0,0,0,OK
1.227017,Lzxssx_522213,Tick,30,0,30,-30,127700,128100,192,7808,1808,OK
1.227017,cunhal_42,Tick,0,0,0,0,127700,128100,0,0,0,OK
1.227017,Team666_666888,Tick,2,0,2,-2,127700,128100,-26,626,226,OK
1.227017,LiquidBears_2185,Tick,0,0,0,0,127700,128100,0,0,0,OK
1.227017,Gamma_1919,Tick,0,0,0,0,127700,128100,0,0,0,OK
1.495071,Himalayas_748297,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.495071,Lzxssx_522213,Tick,40,0,40,-40,128000,128400,447,14553,6553,OK
1.495071,cunhal_42,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.495071,Team666_666888,Tick,22,0,22,-12,128000,128400,484,-1270484,9116,OK
1.495071,LiquidBears_2185,Tick,0,2,-2,0,128000,128400,-26,256026,-374,OK
1.495071,Gamma_1919,Tick,0,0,0,0,128000,128400,0,0,0,OK
1.797576,Himalayas_748297,Tick,0,0,0,0,128200,128400,0,0,0,OK
1.797576,Lzxssx_522213,Tick,40,10,30,-30,128200,128400,703,11297,5297,OK
1.797576,cunhal_42,Tick,10,0,10,0,128200,128400,-128,-1281872,128,OK
1.797576,Team666_666888,Tick,22,0,22,-12,128200,128400,484,-1270484,9116,OK
1.797576,LiquidBears_2185,Tick,0,2,-2,0,128200,128400,-26,256026,-374,OK
1.797576,Gamma_1919,Tick,0,0,0,0,128200,128400,0,0,0,OK
1.975192,Himalayas_748297,Tick,0,0,0,0,128200,128200,0,0,0,OK
1.975192,Lzxssx_522213,Tick,40,20,20,-20,128200,128200,959,9041,9041,OK
1.975192,cunhal_42,Tick,20,13,7,-10,128200,128200,-423,391523,6923,OK
1.975192,Team666_666888,Tick,22,0,22,-12,128200,128200,484,-1270484,11516,OK
1.975192,LiquidBears_2185,Tick,0,27,-27,0,128200,128200,-347,3463847,2447,OK
1.975192,Gamma_1919,Tick,0,0,0,0,128200,128200,0,0,0,OK
2.206578,Himalayas_748297,Tick,0,0,0,0,128100,128200,0,0,0,OK
2.206578,Lzxssx_522213,Tick,40,30,10,-10,128100,128200,1215,6785,5785,OK
2.206578,cunhal_42,Tick,20,13,7,-10,128100,128200,-423,391523,6223,OK
2.206578,Team666_666888,Tick,22,0,22,-12,128100,128200,484,-1270484,9316,OK
2.206578,LiquidBears_2185,Tick,10,27,-17,0,128100,128200,-475,2182975,5275,OK
2.206578,Gamma_1919,Tick,0,0,0,0,128100,128200,0,0,0,OK
2.516688,Himalayas_748297,Tick,0,0,0,0,128600,128200,0,0,0,OK
2.516688,Lzxssx_522213,Tick,40,40,0,0,128600,128200,1087,913,913,OK
2.516688,cunhal_42,Tick,20,30,-10,-10,128600,128200,-642,2577942,11942,OK
2.516688,Team666_666888,Tick,22,10,12,-2,128600,128200,356,-1274356,10044,OK
2.516688,LiquidBears_2185,Tick,10,52,-42,0,128600,128200,-796,5395796,2996,OK
2.516688,Gamma_1919,Tick,0,0,0,0,128600,128200,0,0,0,OK
2.707554,Himalayas_748297,Tick,0,0,0,0,128600,128200,0,0,0,OK
2.707554,Lzxssx_522213,Tick,50,40,10,-10,128600,128200,1344,656,2656,OK
2.707554,cunhal_42,Tick,20,40,-20,-10,128600,128200,-771,3864071,14071,OK
2.707554,Team666_666888,Tick,22,10,12,-2,128600,128200,356,-1274356,10044,OK
2.707554,LiquidBears_2185,Tick,10,52,-42,0,128600,128200,-796,5395796,2996,OK
2.707554,Gamma_1919,Tick,0,0,0,0,128600,128200,0,0,0,OK
2.985676,Himalayas_748297,Tick,0,0,0,0,128700,129100,0,0,0,OK
