Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.000004,NoYoBall_279744,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Lzxssx_522213,Tick,0,0,0,0,,,0,0,0,OK
0.000004,JDVSpecials_1,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Team666_666888,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Gamma_1919,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Noedgeonlyvol_2557,Tick,0,0,0,0,,,0,0,0,OK
0.000004,ReadyTraderChess_69,Tick,0,0,0,0,,,0,0,0,OK
0.000004,LiquidBears_2185,Tick,0,0,0,0,,,0,0,0,OK
0.239313,NoYoBall_279744,Tick,0,0,0,0,,127900,0,0,0,OK
0.239313,Lzxssx_522213,Tick,0,0,0,0,,127900,0,0,0,OK
0.239313,JDVSpecials_1,Tick,0,0,0,0,,127900,0,0,0,OK
0.239313,Team666_666888,Tick,0,0,0,0,,127900,0,0,0,OK
0.239313,Gamma_1919,Tick,0,0,0,0,,127900,0,0,0,OK
0.239313,Noedgeonlyvol_2557,Tick,0,0,0,0,,127900,0,0,0,OK
0.239313,ReadyTraderChess_69,Tick,0,0,0,0,,127900,0,0,0,OK
0.239313,LiquidBears_2185,Tick,0,0,0,0,,127900,0,0,0,OK
0.522830,NoYoBall_279744,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.522830,Lzxssx_522213,Tick,10,0,10,-10,127800,128000,256,-256,-2256,OK
0.522830,JDVSpecials_1,Tick,24,10,14,-14,127800,128000,485,-2485,-5285,OK
0.522830,Team666_666888,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.522830,Gamma_1919,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.522830,Noedgeonlyvol_2557,Tick,0,9,-9,1,127800,128000,-115,1022315,115,OK
0.522830,ReadyTraderChess_69,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.522830,LiquidBears_2185,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.794837,NoYoBall_279744,Tick,0,0,0,0,127900,128000,0,0,0,OK
0.794837,Lzxssx_522213,Tick,10,10,0,0,127900,128000,128,-3128,-3128,OK
0.794837,JDVSpecials_1,Tick,24,10,14,-14,127900,128000,485,-2485,-3885,OK
0.794837,Team666_666888,Tick,0,0,0,0,127900,128000,0,0,0,OK
0.794837,Gamma_1919,Tick,0,0,0,0,127900,128000,0,0,0,OK
0.794837,Noedgeonlyvol_2557,Tick,10,9,1,0,127900,128000,141,-129041,-1141,OK
0.794837,ReadyTraderChess_69,Tick,0,0,0,0,127900,128000,0,0,0,OK
0.794837,LiquidBears_2185,Tick,0,0,0,0,127900,128000,0,0,0,OK
0.969386,NoYoBall_279744,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.969386,Lzxssx_522213,Tick,10,10,0,0,127800,128000,128,-3128,-3128,OK
0.969386,JDVSpecials_1,Tick,24,10,14,-14,127800,128000,485,-2485,-5285,OK
0.969386,Team666_666888,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.969386,Gamma_1919,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.969386,Noedgeonlyvol_2557,Tick,17,9,8,-1,127800,128000,52,-895652,-1252,OK
0.969386,ReadyTraderChess_69,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.969386,LiquidBears_2185,Tick,0,0,0,0,127800,128000,0,0,0,OK
1.268514,NoYoBall_279744,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.268514,Lzxssx_522213,Tick,20,20,0,0,128100,128400,-128,-3872,-3872,OK
1.268514,JDVSpecials_1,Tick,24,10,14,-14,128100,128400,485,-2485,-5285,OK
1.268514,Team666_666888,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.268514,Gamma_1919,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.268514,Noedgeonlyvol_2557,Tick,43,9,34,-3,128100,128400,603,-3968803,4797,OK
1.268514,ReadyTraderChess_69,Tick,0,13,-13,0,128100,128400,-166,1665466,-1134,OK
1.268514,LiquidBears_2185,Tick,25,0,25,0,128100,128400,-320,-3197180,7820,OK
1.501086,NoYoBall_279744,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.501086,Lzxssx_522213,Tick,30,20,10,-10,128100,128400,128,-3128,-5128,OK
1.501086,JDVSpecials_1,Tick,24,10,14,-14,128100,128400,485,-2485,-5285,OK
1.501086,Team666_666888,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.501086,Gamma_1919,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.501086,Noedgeonlyvol_2557,Tick,43,9,34,-4,128100,128400,603,-3840603,4597,OK
1.501086,ReadyTraderChess_69,Tick,0,23,-23,0,128100,128400,-294,2946594,-2006,OK
1.501086,LiquidBears_2185,Tick,25,0,25,0,128100,128400,-320,-3197180,7820,OK
1.719416,NoYoBall_279744,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.719416,Lzxssx_522213,Tick,30,20,10,-10,128100,128400,128,-3128,-5128,OK
1.719416,JDVSpecials_1,Tick,24,10,14,-14,128100,128400,485,-2485,-5285,OK
1.719416,Team666_666888,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.719416,Gamma_1919,Tick,0,0,0,0,128100,128400,0,0,0,OK
1.719416,Noedgeonlyvol_2557,Tick,43,9,34,-5,128100,128400,603,-3712403,4397,OK
1.719416,ReadyTraderChess_69,Tick,0,23,-23,0,128100,128400,-294,2946594,-2006,OK
1.719416,LiquidBears_2185,Tick,25,0,25,0,128100,128400,-320,-3197180,7820,OK
2.017759,NoYoBall_279744,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.017759,Lzxssx_522213,Tick,30,30,0,0,128500,128200,0,-4000,-4000,OK
2.017759,JDVSpecials_1,Tick,24,10,14,-14,128500,128200,485,-2485,315,OK
2.017759,Team666_666888,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.017759,Gamma_1919,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.017759,Noedgeonlyvol_2557,Tick,43,37,6,-6,128500,128200,243,12757,13957,OK
2.017759,ReadyTraderChess_69,Tick,0,23,-23,0,128500,128200,-294,2946594,-6606,OK
2.017759,LiquidBears_2185,Tick,25,0,25,0,128500,128200,-320,-3197180,12820,OK
2.283367,NoYoBall_279744,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.283367,Lzxssx_522213,Tick,30,30,0,0,128500,128200,0,-4000,-4000,OK
2.283367,JDVSpecials_1,Tick,24,10,14,-14,128500,128200,485,-2485,315,OK
2.283367,Team666_666888,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.283367,Gamma_1919,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.283367,Noedgeonlyvol_2557,Tick,43,37,6,-6,128500,128200,243,12757,13957,OK
2.283367,ReadyTraderChess_69,Tick,0,23,-23,0,128500,128200,-294,2946594,-6606,OK
2.283367,LiquidBears_2185,Tick,25,0,25,0,128500,128200,-320,-3197180,12820,OK
2.485324,NoYoBall_279744,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.485324,Lzxssx_522213,Tick,30,30,0,0,128500,128200,0,-4000,-4000,OK
2.485324,JDVSpecials_1,Tick,24,10,14,-14,128500,128200,485,-2485,315,OK
2.485324,Team666_666888,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.485324,Gamma_1919,Tick,0,0,0,0,128500,128200,0,0,0,OK
2.485324,Noedgeonlyvol_2557,Tick,43,37,6,-6,128500,128200,243,12757,13957,OK
2.485324,ReadyTraderChess_69,Tick,0,23,-23,0,128500,128200,-294,2946594,-6606,OK
2.485324,LiquidBears_2185,Tick,25,0,25,0,128500,128200,-320,-3197180,12820,OK
2.724126,NoYoBall_279744,Tick,0,10,-10,10,128600,128200,-129,-2871,-4871,OK
2.724126,Lzxssx_522213,Tick,40,40,0,0,128600,128200,129,-9129,-9129,OK
2.724126,JDVSpecials_1,Tick,24,10,14,-14,128600,128200,485,-2485,315,OK
2.724126,Team666_666888,Tick,0,0,0,0,128600,128200,0,0,0,OK
2.724126,Gamma_1919,Tick,0,0,0,0,128600,128200,0,0,0,OK
2.724126,Noedgeonlyvol_2557,Tick,43,57,-14,-5,128600,128200,-13,2453013,14413,OK
2.724126,ReadyTraderChess_69,Tick,10,65,-55,0,128600,128200,-577,7062077,77,OK
2.724126,LiquidBears_2185,Tick,25,0,25,0,128600,128200,-320,-3197180,12820,OK
2.969885,NoYoBall_279744,Tick,0,10,-10,10,128600,129100,-129,-2871,-871,OK
2.969885,Lzxssx_522213,Tick,40,40,0,0,128600,129100,129,-9129,-9129,OK
2.969885,JDVSpecials_1,Tick,24,10,14,-14,128600,129100,485,-2485,-5285,OK
2.969885,Team666_666888,Tick,0,0,0,0,128600,129100,0,0,0,OK
2.969885,Gamma_1919,Tick,0,0,0,0,128600,129100,0,0,0,OK
