signal = 1.0, price = [0, 147100]
signal = -0.01639344262295082, price = [147100, 0]
signal = -1.1036269430051815, price = [147000, 0]
signal = -0.1782178217821782, price = [147000, 0]
signal = 0.2358490566037736, price = [0, 147000]
signal = 1.8295081967213114, price = [0, 147000]
signal = -0.3695652173913043, price = [146900, 0]
signal = -0.44574780058651026, price = [146900, 0]
signal = -0.7277628032345014, price = [146900, 0]
signal = 0.26246719160104987, price = [0, 147100]
signal = 0.7142857142857143, price = [0, 147200]
signal = -0.6688963210702341, price = [147000, 0]
signal = -0.42016806722689076, price = [147000, 0]
signal = -1.1583011583011584, price = [147000, 0]
signal = 1.5017064846416381, price = [0, 147200]
signal = 0.47619047619047616, price = [0, 147200]
signal = -0.49261083743842365, price = [147200, 0]
signal = -1.748878923766816, price = [147100, 0]
signal = -4.454022988505748, price = [147000, 0]
signal = 0.029498525073746312, price = [0, 146400]
signal = -0.303951367781155, price = [146800, 0]
signal = -0.31347962382445144, price = [146800, 0]
signal = -0.31347962382445144, price = [146700, 0]
signal = 0.33444816053511706, price = [0, 146800]
signal = 0.37735849056603776, price = [0, 146900]
signal = -0.449438202247191, price = [146800, 0]
signal = 0.7220216606498195, price = [0, 146900]
signal = -0.4032258064516129, price = [146900, 0]
signal = 2.619047619047619, price = [0, 147000]
signal = 0.7407407407407407, price = [0, 147100]
signal = 4.0476190476190474, price = [0, 147200]
signal = -0.47619047619047616, price = [147100, 0]
signal = -1.8032786885245902, price = [147000, 0]
signal = -0.64, price = [147000, 0]
signal = 0.7692307692307693, price = [0, 147000]
signal = 0.38759689922480617, price = [0, 147000]
signal = -0.7751937984496123, price = [146900, 0]
signal = 0.7116104868913858, price = [0, 146900]
signal = -1.1363636363636365, price = [146800, 0]
signal = 0.45112781954887216, price = [0, 146800]
signal = 0.9950248756218905, price = [0, 146900]
signal = 0.49751243781094523, price = [0, 146900]
signal = 1.6042780748663101, price = [0, 146900]
signal = -2.754237288135593, price = [146700, 0]
signal = 1.2195121951219512, price = [0, 146900]
signal = 0.78125, price = [0, 146900]
signal = 0.4065040650406504, price = [0, 146900]
signal = 1.1673151750972763, price = [0, 146900]
signal = 0.8097165991902834, price = [0, 147000]
signal = 0.40816326530612246, price = [0, 147000]
signal = 3.36283185840708, price = [0, 147000]
signal = 1.3184079601990049, price = [147300, 147400]
signal = -0.5102040816326531, price = [147300, 0]
signal = 1.4397905759162302, price = [0, 147400]
signal = 0.2493074792243767, price = [0, 147500]
signal = 0.5540166204986149, price = [0, 147600]
signal = -0.27700831024930744, price = [147600, 0]
signal = 0.29325513196480935, price = [0, 147700]
signal = 0.5865102639296187, price = [0, 147700]
signal = -0.29325513196480935, price = [147600, 0]
signal = -0.8097165991902834, price = [147600, 0]
signal = -1.0309278350515465, price = [147500, 0]
signal = -0.5434782608695653, price = [147400, 0]
signal = -0.7194244604316546, price = [147400, 0]
signal = 0.7142857142857143, price = [0, 147400]
signal = -1.4285714285714286, price = [147400, 0]
